Filepath,Turbidity
./Datasets/0degree_lowrange/9.45/20220520_061245.png,9.45
./Datasets/0degree_lowrange/88.4/20220510_124820.png,88.4
./Datasets/0degree_lowrange/112.5/20220427_100626.png,112.5
./Datasets/0degree_lowrange/107.6/20220427_110110.png,107.6
./Datasets/0degree_lowrange/56.4/20220517_104313.png,56.4
./Datasets/0degree_lowrange/70/20220512_141655.png,70.0
./Datasets/0degree_lowrange/93.4/20220427_145520.png,93.4
./Datasets/0degree_lowrange/40.5/20220517_153025.png,40.5
./Datasets/0degree_lowrange/109/20220427_104124.png,109.0
./Datasets/0degree_lowrange/23.5/20220519_221016.png,23.5
./Datasets/0degree_lowrange/67/20220512_152618.png,67.0
./Datasets/0degree_lowrange/44.5/20220517_144330.png,44.5
./Datasets/0degree_lowrange/97.25/20220427_134119.png,97.25
./Datasets/0degree_lowrange/43/20220517_150707.png,43.0
./Datasets/0degree_lowrange/81.85/20220512_104011.png,81.85
./Datasets/0degree_lowrange/123.9/20220426_141613.png,123.9
./Datasets/0degree_lowrange/39.4/20220519_114725.png,39.4
./Datasets/0degree_lowrange/85.1/20220510_133006.png,85.1
./Datasets/0degree_lowrange/121.25/20220426_130601.png,121.25
./Datasets/0degree_lowrange/40.5/20220517_153003.png,40.5
./Datasets/0degree_lowrange/127.9/20220426_133046.png,127.9
./Datasets/0degree_lowrange/76.95/20220512_124734.png,76.95
./Datasets/0degree_lowrange/60.05/20220513_133325.png,60.05
./Datasets/0degree_lowrange/1.05/20220520_084314.png,1.05
./Datasets/0degree_lowrange/40.5/20220517_153017.png,40.5
./Datasets/0degree_lowrange/76.35/20220512_130448.png,76.35
./Datasets/0degree_lowrange/16.9/20220519_201359.png,16.9
./Datasets/0degree_lowrange/119.7/20220426_145711.png,119.7
./Datasets/0degree_lowrange/122.3/20220426_142535.png,122.3
./Datasets/0degree_lowrange/112.5/20220427_100558.png,112.5
./Datasets/0degree_lowrange/123.9/20220426_141554.png,123.9
./Datasets/0degree_lowrange/58.8/20220513_135529.png,58.8
./Datasets/0degree_lowrange/5.1/20220520_080813.png,5.1
./Datasets/0degree_lowrange/7.2/20220520_070439.png,7.2
./Datasets/0degree_lowrange/32.1/20220519_143212.png,32.1
./Datasets/0degree_lowrange/51.15/20220517_111521.png,51.15
./Datasets/0degree_lowrange/91.3/20220427_152743.png,91.3
./Datasets/0degree_lowrange/33.4/20220519_150413.png,33.4
./Datasets/0degree_lowrange/105/20220427_114121.png,105.0
./Datasets/0degree_lowrange/34.7/20220519_140346.png,34.7
./Datasets/0degree_lowrange/26.7/20220519_195416.png,26.7
./Datasets/0degree_lowrange/93.4/20220427_145529.png,93.4
./Datasets/0degree_lowrange/127.9/20220426_133111.png,127.9
./Datasets/0degree_lowrange/24.85/20220519_214705.png,24.85
